"","gene","integral_value","Beta0","Beta1","Beta2","Beta3","Beta4"
"17297","ENSMUSG00000079042",0.204967706834784,0.847605968688237,-32.606717082404,164.862363583985,-237.089518556059,104.647697496667
"7115","ENSMUSG00000029522",0.164729046826517,1.26156183367862,-28.9630231300929,134.493917444286,-189.460118413812,84.093648787993
"17693","ENSMUSG00000091504",0.155180495491373,1.82022941387676,-29.2969860898945,129.520366493382,-168.146140873976,67.8796729691828
"13471","ENSMUSG00000049133",0.154902331532401,0.802292703192676,-14.3496534515463,46.4696931014808,-43.3957729946934,11.5039187801354
"9293","ENSMUSG00000034342",0.153837525603551,1.27858383799194,-21.402383361963,80.0476312074368,-95.5179304801133,36.961103406669
"3128","ENSMUSG00000021665",0.153194380696812,0.167600382572074,-9.53959283934345,15.5391648829546,6.63808162519065,-12.5405242839829
"362","ENSMUSG00000002033",0.14798268827276,1.35266779054327,-26.2027478472508,124.210008822687,-173.946323280863,76.0145950777887
"4968","ENSMUSG00000025597",0.146847843751274,1.45487238456274,-25.0860920951992,117.295052769314,-156.232261624439,63.8473971198468
"11576","ENSMUSG00000040809",0.145847280327675,1.83037040228917,-27.6590451176353,122.29437802887,-156.960056105113,62.2414758270665
"1741","ENSMUSG00000017211",0.145030263567647,1.17167712947852,-22.36042874321,96.489885226577,-129.226756265882,55.3625124750548
"2602","ENSMUSG00000020686",0.143782846298835,0.681785099041349,-20.9385142317655,95.2012488151259,-130.762072022215,56.4994514816556
"9596","ENSMUSG00000035235",0.142154105899068,-0.433767670289718,-9.78002840686823,20.3972794622489,-0.753317906176083,-9.87895541046017
"15343","ENSMUSG00000060733",0.139228522770286,0.996115835333716,-14.5266646394403,44.8085516301536,-41.8175121958757,11.6076460032159
"8194","ENSMUSG00000031645",0.138784172718842,1.55623486945928,-25.762295313551,120.249333862404,-164.525299127875,70.0047979345441
"3734","ENSMUSG00000022723",0.138173006029975,1.9274061011869,-19.943557945974,64.3533250147206,-61.7680626115305,17.2710372529929
"15724","ENSMUSG00000063334",0.137374860354435,0.510801031511546,-9.30987606267584,17.3167572406317,-0.552393079031513,-7.28423101783139
"17161","ENSMUSG00000078487",0.136196363382043,1.08914952757926,-21.76903650711,102.966982701387,-143.95103183689,62.8279933751841
"14770","ENSMUSG00000056679",0.134772076520602,0.969403696116183,-21.7421152508541,110.511479044545,-161.144452588691,72.5459808023351
"2962","ENSMUSG00000021337",0.134427285337701,1.37920746139817,-24.3276672160462,113.891986571253,-160.057910543135,70.6528859655446
"15525","ENSMUSG00000062012",0.133218468225062,0.387994187760073,-16.902077215263,72.188523606527,-94.2425043835912,39.0244608214319
"16356","ENSMUSG00000070304",0.132416230971372,0.471323545263651,-18.5005540005716,81.7964258535423,-111.314656750587,48.1762511747086
"7902","ENSMUSG00000031138",0.131587947028204,1.6981628546533,-23.7127279212712,105.194190599648,-135.140568162304,53.5816813497769
"9673","ENSMUSG00000035458",0.130035177306208,0.69763462312046,-18.8070174087414,82.8248341432371,-111.679008043273,47.6335554842535
"1768","ENSMUSG00000017453",0.129565134529535,1.00258592315953,-15.494764303054,60.3504550432561,-68.5979931416621,23.4749616610031
"13604","ENSMUSG00000049804",0.129457578552074,1.25314000669165,-25.1774514170564,131.634280123335,-198.141817364318,91.7866678835763
"1206","ENSMUSG00000009246",0.128930657120039,0.659581635198285,-18.6182317936369,81.9066953155769,-111.471405894703,48.3362200720401
"8629","ENSMUSG00000032397",0.128744452385693,-0.417767665595566,-8.87495693137879,12.1910751587438,5.84606648806331,-8.48148622443637
"14332","ENSMUSG00000053914",0.127715894796522,0.902869887411382,-21.1344974031805,110.572074475114,-166.17041037123,76.868657327286
"3286","ENSMUSG00000021953",0.127547470976538,-0.0303489291461154,-9.75872843848365,23.7001960689577,-11.0647317002059,-2.88949074261861
"7414","ENSMUSG00000030147",0.126937316520734,1.86382654817637,-25.6051455548133,114.176229989951,-150.615867271692,62.0004336431159
"16327","ENSMUSG00000069825",0.126040564187652,1.40493387276464,-25.1624580157589,135.179750958379,-201.344479505636,91.3087079076985
"6397","ENSMUSG00000028298",0.12480561366611,1.461907342742,-25.1040226033077,125.888877119174,-184.581447301245,84.1298845720478
"954","ENSMUSG00000006241",0.124377908934291,0.722163162577113,-9.24995074609725,20.5739558426315,-6.74694646510079,-4.54628133882768
"7179","ENSMUSG00000029635",0.124331341368181,-0.291228905778502,-8.80704371377386,16.4328074663375,-1.49108047265066,-5.72515743060369
"881","ENSMUSG00000005696",0.124113645783993,1.52423751661733,-23.9537706434167,116.370854836623,-166.292609939401,74.2662096371262
"12721","ENSMUSG00000045545",0.123954070544164,1.4059508514719,-22.3801599518436,104.685761372437,-144.690462935506,62.3005065559269
"11519","ENSMUSG00000040660",0.123352431404516,1.48221832463805,-22.8455259266964,109.230900716745,-153.082618209921,66.8778737269037
"17493","ENSMUSG00000087166",0.123251903595061,0.152568017138203,-7.11017708001079,16.8777682647955,-1.71290373319063,-8.31438086025291
"12284","ENSMUSG00000043336",0.122552611331592,0.66988231975494,-5.94982147794116,4.23430828199396,16.3064124224714,-14.2945192110805
"12945","ENSMUSG00000046694",0.122538432779677,-0.335270850353611,-10.8089242116332,30.1306074048054,-20.4492833604728,0.998840820748285
"16133","ENSMUSG00000068130",0.121914241794552,1.26099651143494,-23.2441010566134,123.261830764352,-185.087190905537,85.209552000749
"3963","ENSMUSG00000023186",0.121713212387515,1.69209138675097,-18.7573617519749,73.2105291783222,-83.7489929695078,29.3696306253057
"6295","ENSMUSG00000028109",0.121549596831939,1.65922030962465,-27.5056200594342,140.930572681434,-207.546459664924,94.3104095579406
